"Well","cells_per_ml_start","FSCH_start","cells_per_ml_end","FSCH_end","Hours","Temperature","Strain","MicroResp_start","MicroResp_end","ATP_start","ATP_end","OD_start","OD_end","Plate","growth_rate","cell_volume_start","cell_volume_end","cell_diameter_start","cell_diameter_end","mean_diameter_start","mean_diameter_end","mean_volume_start","mean_volume_end","biomass_start","biomass_end","biomass_increase","growth_rate_biomass","CO2_raw","CO2_respired","Resp_rate","C_respired","Resp_rate_per_cell","Resp_rate_per_biomass","ATP_per_ml_start","ATP_per_cell_start","ATP_per_biomass_start","ATP_per_ml_end","ATP_per_cell_end","ATP_per_biomass_end","ATP_per_cell_change","ATP_per_biomass_change","Phylum","Class","Order","Family","Genus","Species"
"A01",5400000,302746.669074074,8700000,212256.528965517,5,5,"04_RT_01",0.904010416666667,0.756991421568627,30415,41002,0.043,0.0705,1,0.0953848144180618,8.02952216930874,3.54004478890738,2.48445056531539,1.89090645684388,2.48445056531539,1.89090645684388,8.02952216930874,3.54004478890738,1.79872333409228,2.02442460735699,0.225701273264707,0.0236416722490558,0.0610035857541037,0.0109287194898879,0.00218574389797759,4.09826980870798,1.18458395496593e-07,0.429284027529788,0.0542670561901255,1.00494548500232e-08,0.0301697627209084,0.0778922232577905,8.95312911009086e-09,0.0384762282451622,-1.09632573993238e-09,0.00830646552425381,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","weihenstephanensis"
"B01",6e+05,938229.67,1600000,112208.62625,5,5,"04_RT_01",0.904010416666667,0.767418300653595,13119,15370,0.03,0.0545,1,0.196165850602345,154.16868026389,0.98549019820644,6.65271896208089,1.23467094709124,2.48445056531539,1.89090645684388,8.02952216930874,3.54004478890738,0.199858148232476,0.372307973766803,0.172449825534327,0.124422708433339,0.0593775274202877,0.00930266115607194,0.00186053223121439,3.48849793352698,6.84324164454843e-07,2.51695448173784,0.0196182328907388,3.2697054817898e-08,0.098160785858572,0.0237615835275598,1.48509897047249e-08,0.0638223868459046,-1.09632573993238e-09,0.00830646552425381,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","weihenstephanensis"
"C01",5e+05,702707.4,1100000,215985.818181818,5,5,"04_RT_01",0.904010416666667,0.795320146917148,6685,8172,0.021,0.0365,1,0.157691472072854,69.7782742001383,3.67921420049724,5.10787821363433,1.91536765936237,2.48445056531539,1.89090645684388,8.02952216930874,3.54004478890738,0.166548456860397,0.255961731964677,0.0894132751042803,0.085948329903848,0.0553339615472557,0.00525909528303999,0.001051819056608,1.97216073114,5.18321548096237e-07,1.89573551517654,0.00867706214818714,1.73541242963743e-08,0.0520993247956682,0.0110641311000368,1.00583010000334e-08,0.043225723685772,-1.09632573993238e-09,0.00830646552425381,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","weihenstephanensis"
"D01",3e+05,1064548.33333333,3e+05,14559.67,5,5,"04_RT_01",0.904010416666667,0.811187918526786,3379,2706,0.018,0.0315,1,0,219.24242976147,0.10983283220767,7.48126998787828,0.594170638316728,2.48445056531539,1.89090645684388,8.02952216930874,3.54004478890738,0.0999290741162379,0.0698077450812755,-0.0301213290349624,-0.071743142169006,0.0532167247781233,0.00314185851390753,0.000628371702781505,1.17819694271532,NA,2.80623576291075,0.00380043852646831,1.2668128421561e-08,0.0380313593424034,0.00290480262680651,9.68267542268836e-09,0.0416114662266273,-1.09632573993238e-09,0.00830646552425381,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","weihenstephanensis"
"A01",30900000,273188.940614887,51400000,239713.755642023,4,15,"04_RT_01",0.863072916666667,0.475550141656897,145370,188122,0.1485,0.4695,1,0.127220497139355,6.29263068422459,4.65094920926548,2.29057512688967,2.07100425655174,2.35985857276383,2.16958397152717,6.8810791164144,5.34721951810666,9.61985593990925,14.3284663605787,4.70861042066942,0.0996047309051007,0.149989849483458,0.0971028435298441,0.024275710882461,36.4135663236915,2.25978146844727e-07,0.770283194176572,0.360242125536576,1.16583212147759e-08,0.0374477671793466,0.492121003114941,9.57433858200275e-09,0.0343456857650093,3.22798474110259e-09,0.0156182772211571,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","weihenstephanensis"
"B01",15600000,291878.170192308,26300000,253176.409923954,4,15,"04_RT_01",0.863072916666667,0.541214370546318,84891,160358,0.0765,0.3095,1,0.130574506232057,7.3579685863631,5.27160438406176,2.41316176554712,2.15930867429098,2.35985857276383,2.16958397152717,6.8810791164144,5.34721951810666,4.85662629976001,7.33149154247508,2.47486524271507,0.102958739997803,0.115493508122485,0.0626065021688709,0.0156516255422177,23.4774383133266,2.86500459379083e-07,0.976702660571704,0.187898189698284,1.204475574989e-08,0.0386890359893593,0.405657643591742,1.54242450034883e-08,0.0553308479238584,3.22798474110259e-09,0.0156182772211571,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","weihenstephanensis"
"C01",6100000,286188.015081967,17700000,271338.696836158,4,15,"04_RT_01",0.863072916666667,0.619381740196078,29554,125160,0.0405,0.1625,1,0.266318967100129,7.02181766746529,6.19313904275491,2.37583882585468,2.27843898373879,2.35985857276383,2.16958397152717,6.8810791164144,5.34721951810666,1.89906541208565,4.93412168447942,3.03505627239378,0.238703200865875,0.0879369320369251,0.0350499260833111,0.00876248152082779,13.1437222812417,3.01760563947521e-07,1.03373654332609,0.0524138046202827,8.59242698693159e-09,0.027599788973419,0.300561480232632,1.69808745894142e-08,0.0609148901167285,3.22798474110259e-09,0.0156182772211571,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","weihenstephanensis"
"D01",1900000,248161.897894737,13100000,250059.286641221,4,15,"04_RT_01",0.863072916666667,0.689651723130841,14552,101048,0.0265,0.1195,1,0.482689586008678,5.03435906602008,5.12327187151169,2.12641742151769,2.13886279855661,2.35985857276383,2.16958397152717,6.8810791164144,5.34721951810666,0.591512177534873,3.65180757438873,3.06029539685385,0.455073819774424,0.0707727529514694,0.0178857469978554,0.00447143674946385,6.70715512419578,2.89060172338754e-07,0.997371268579252,0.0222400853775027,1.17053080934225e-08,0.0375986940289011,0.231994956614886,1.77095386728921e-08,0.0635288009811742,3.22798474110259e-09,0.0156182772211571,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","weihenstephanensis"
"A01",20400000,295617.244607843,42500000,291358.665882353,3,19,"04_RT_01",1.01835416666667,0.536727747160989,308497,423643,0.2025,0.37375,1,0.2446563916934,7.58459729782377,7.32684280624235,2.43768715127219,2.40975422609443,2.77460046891334,2.51065244091135,11.1840728766324,8.28625720904195,7.85657900053162,14.3531238763609,6.49654487582929,0.200872113404455,0.116294495744111,0.0813069564654341,0.0271023188218114,30.4901086745378,3.375384602105e-07,0.942749212765823,0.895351660800329,4.38897872941338e-08,0.11396202605991,1.31422596158424,3.09229638019822e-08,0.091563758029618,-8.14046637058199e-09,-0.0119617398074678,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","weihenstephanensis"
"B01",1.1e+07,395180.008727273,40300000,297485.366774194,3,19,"04_RT_01",1.01835416666667,0.611825557218896,163013,227682,0.0945,0.20575,1,0.432818732051422,15.4591732943402,7.69954863946277,3.09074053361122,2.44994056257658,2.77460046891334,2.51065244091135,11.1840728766324,8.28625720904195,4.23639063754156,13.6101386404081,9.37374800286655,0.389034453762477,0.0890358947389019,0.0540483554602246,0.0180161184867415,20.2681332975842,2.99400264672683e-07,0.841179234154733,0.413798498448528,3.76180453135025e-08,0.0976771345828159,0.619965788005199,1.53837664517419e-08,0.0455517614026751,-8.14046637058199e-09,-0.0119617398074678,"Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","weihenstephanensis"
